team,season,error
Charleston Southern,2020,Missing game_id or date columns
Charlotte,2020,Missing game_id or date columns
Chattanooga,2020,Missing game_id or date columns
Chicago St.,2020,Missing game_id or date columns
Cincinnati,2020,Missing game_id or date columns
Clemson,2020,Missing game_id or date columns
Cleveland St.,2020,Missing game_id or date columns
Coastal Carolina,2020,Missing game_id or date columns
Colgate,2020,Missing game_id or date columns
Colorado,2020,Missing game_id or date columns
Colorado St.,2020,Missing game_id or date columns
Columbia,2020,Missing game_id or date columns
Connecticut,2020,Missing game_id or date columns
Coppin St.,2020,Missing game_id or date columns
Cornell,2020,Missing game_id or date columns
Creighton,2020,Missing game_id or date columns
Dartmouth,2020,Missing game_id or date columns
Davidson,2020,Missing game_id or date columns
Dayton,2020,Missing game_id or date columns
DePaul,2020,Missing game_id or date columns
Delaware,2020,Missing game_id or date columns
Delaware St.,2020,Missing game_id or date columns
Denver,2020,Missing game_id or date columns
Detroit Mercy,2020,Missing game_id or date columns
Drake,2020,Missing game_id or date columns
Drexel,2020,Missing game_id or date columns
Duke,2020,Missing game_id or date columns
Duquesne,2020,Missing game_id or date columns
East Carolina,2020,Missing game_id or date columns
East Tennessee St.,2020,Missing game_id or date columns
East Texas A&M,2020,Missing game_id or date columns
Eastern Illinois,2020,Missing game_id or date columns
Eastern Kentucky,2020,Missing game_id or date columns
Eastern Michigan,2020,Missing game_id or date columns
Eastern Washington,2020,Missing game_id or date columns
Elon,2020,Missing game_id or date columns
Evansville,2020,Missing game_id or date columns
FIU,2020,Missing game_id or date columns
Fairfield,2020,Missing game_id or date columns
Fairleigh Dickinson,2020,Missing game_id or date columns
Florida,2020,Missing game_id or date columns
Florida A&M,2020,Missing game_id or date columns
Florida Atlantic,2020,Missing game_id or date columns
Florida Gulf Coast,2020,Missing game_id or date columns
Florida St.,2020,Missing game_id or date columns
Fordham,2020,Missing game_id or date columns
Fresno St.,2020,Missing game_id or date columns
Furman,2020,Missing game_id or date columns
Gardner Webb,2020,Missing game_id or date columns
George Mason,2020,Missing game_id or date columns
George Washington,2020,Missing game_id or date columns
Georgetown,2020,Missing game_id or date columns
Georgia,2020,Missing game_id or date columns
Georgia Southern,2020,Missing game_id or date columns
Georgia St.,2020,Missing game_id or date columns
Georgia Tech,2020,Missing game_id or date columns
Gonzaga,2020,Missing game_id or date columns
Grambling St.,2020,Missing game_id or date columns
Grand Canyon,2020,Missing game_id or date columns
Green Bay,2020,Missing game_id or date columns
Hampton,2020,Missing game_id or date columns
Hartford,2020,Missing game_id or date columns
Harvard,2020,Missing game_id or date columns
Hawaii,2020,Missing game_id or date columns
High Point,2020,Missing game_id or date columns
Hofstra,2020,Missing game_id or date columns
Holy Cross,2020,Missing game_id or date columns
Horz,2020,Missing game_id or date columns
Houston,2020,Missing game_id or date columns
Houston Christian,2020,Missing game_id or date columns
Howard,2020,Missing game_id or date columns
IU Indy,2020,Missing game_id or date columns
Idaho,2020,Missing game_id or date columns
Idaho St.,2020,Missing game_id or date columns
Illinois,2020,Missing game_id or date columns
Illinois Chicago,2020,Missing game_id or date columns
Illinois St.,2020,Missing game_id or date columns
Incarnate Word,2020,Missing game_id or date columns
Indiana,2020,Missing game_id or date columns
Indiana St.,2020,Missing game_id or date columns
Iona,2020,Missing game_id or date columns
Iowa,2020,Missing game_id or date columns
Iowa St.,2020,Missing game_id or date columns
Ivy,2020,Missing game_id or date columns
Jackson St.,2020,Missing game_id or date columns
Jacksonville,2020,Missing game_id or date columns
Jacksonville St.,2020,Missing game_id or date columns
James Madison,2020,Missing game_id or date columns
Kansas,2020,Missing game_id or date columns
Kansas St.,2020,Missing game_id or date columns
Kennesaw St.,2020,Missing game_id or date columns
Kent St.,2020,Missing game_id or date columns
Kentucky,2020,Missing game_id or date columns
LIU,2020,Missing game_id or date columns
LSU,2020,Missing game_id or date columns
La Salle,2020,Missing game_id or date columns
Lafayette,2020,Missing game_id or date columns
Lamar,2020,Missing game_id or date columns
Le Moyne,2020,Missing game_id or date columns
Lehigh,2020,Missing game_id or date columns
Liberty,2020,Missing game_id or date columns
Lindenwood,2020,Missing game_id or date columns
Lipscomb,2020,Missing game_id or date columns
Little Rock,2020,Missing game_id or date columns
Long Beach St.,2020,Missing game_id or date columns
Longwood,2020,Missing game_id or date columns
Louisiana,2020,Missing game_id or date columns
Louisiana Monroe,2020,Missing game_id or date columns
Louisiana Tech,2020,Missing game_id or date columns
Louisville,2020,Missing game_id or date columns
Loyola Chicago,2020,Missing game_id or date columns
Loyola MD,2020,Missing game_id or date columns
Loyola Marymount,2020,Missing game_id or date columns
MAAC,2020,Missing game_id or date columns
MAC,2020,Missing game_id or date columns
MEAC,2020,Missing game_id or date columns
MVC,2020,Missing game_id or date columns
MWC,2020,Missing game_id or date columns
Maine,2020,Missing game_id or date columns
Manhattan,2020,Missing game_id or date columns
Marist,2020,Missing game_id or date columns
Marquette,2020,Missing game_id or date columns
Marshall,2020,Missing game_id or date columns
Maryland,2020,Missing game_id or date columns
Maryland Eastern Shore,2020,Missing game_id or date columns
Massachusetts,2020,Missing game_id or date columns
McNeese St.,2020,Missing game_id or date columns
Memphis,2020,Missing game_id or date columns
Mercer,2020,Missing game_id or date columns
Merrimack,2020,Missing game_id or date columns
Miami FL,2020,Missing game_id or date columns
Miami OH,2020,Missing game_id or date columns
Michigan,2020,Missing game_id or date columns
Michigan St.,2020,Missing game_id or date columns
Middle Tennessee,2020,Missing game_id or date columns
Milwaukee,2020,Missing game_id or date columns
Minnesota,2020,Missing game_id or date columns
Mississippi,2020,Missing game_id or date columns
Mississippi St.,2020,Missing game_id or date columns
Mississippi Valley St.,2020,Missing game_id or date columns
Missouri,2020,Missing game_id or date columns
Missouri St.,2020,Missing game_id or date columns
Monmouth,2020,Missing game_id or date columns
Montana,2020,Missing game_id or date columns
Montana St.,2020,Missing game_id or date columns
Morehead St.,2020,Missing game_id or date columns
Morgan St.,2020,Missing game_id or date columns
Mount St. Mary's,2020,Missing game_id or date columns
Murray St.,2020,Missing game_id or date columns
N.C. State,2020,Missing game_id or date columns
NEC,2020,Missing game_id or date columns
NJIT,2020,Missing game_id or date columns
Navy,2020,Missing game_id or date columns
Nebraska,2020,Missing game_id or date columns
Nebraska Omaha,2020,Missing game_id or date columns
Nevada,2020,Missing game_id or date columns
New Hampshire,2020,Missing game_id or date columns
New Mexico,2020,Missing game_id or date columns
New Mexico St.,2020,Missing game_id or date columns
New Orleans,2020,Missing game_id or date columns
Niagara,2020,Missing game_id or date columns
Nicholls St.,2020,Missing game_id or date columns
Norfolk St.,2020,Missing game_id or date columns
North Alabama,2020,Missing game_id or date columns
North Carolina,2020,Missing game_id or date columns
North Carolina A&T,2020,Missing game_id or date columns
North Carolina Central,2020,Missing game_id or date columns
North Dakota,2020,Missing game_id or date columns
North Dakota St.,2020,Missing game_id or date columns
North Florida,2020,Missing game_id or date columns
North Texas,2020,Missing game_id or date columns
Northeastern,2020,Missing game_id or date columns
Northern Arizona,2020,Missing game_id or date columns
Northern Colorado,2020,Missing game_id or date columns
Northern Illinois,2020,Missing game_id or date columns
Northern Iowa,2020,Missing game_id or date columns
Northern Kentucky,2020,Missing game_id or date columns
Northwestern,2020,Missing game_id or date columns
Northwestern St.,2020,Missing game_id or date columns
Notre Dame,2020,Missing game_id or date columns
OVC,2020,Missing game_id or date columns
Oakland,2020,Missing game_id or date columns
Ohio,2020,Missing game_id or date columns
Ohio St.,2020,Missing game_id or date columns
Oklahoma,2020,Missing game_id or date columns
Oklahoma St.,2020,Missing game_id or date columns
Old Dominion,2020,Missing game_id or date columns
Oral Roberts,2020,Missing game_id or date columns
Oregon,2020,Missing game_id or date columns
Oregon St.,2020,Missing game_id or date columns
P12,2020,Missing game_id or date columns
Pacific,2020,Missing game_id or date columns
Pat,2020,Missing game_id or date columns
Penn,2020,Missing game_id or date columns
Penn St.,2020,Missing game_id or date columns
Pepperdine,2020,Missing game_id or date columns
Pittsburgh,2020,Missing game_id or date columns
Portland,2020,Missing game_id or date columns
Portland St.,2020,Missing game_id or date columns
Prairie View A&M,2020,Missing game_id or date columns
Presbyterian,2020,Missing game_id or date columns
Princeton,2020,Missing game_id or date columns
Providence,2020,Missing game_id or date columns
Purdue,2020,Missing game_id or date columns
Purdue Fort Wayne,2020,Missing game_id or date columns
Queens,2020,Missing game_id or date columns
Quinnipiac,2020,Missing game_id or date columns
Radford,2020,Missing game_id or date columns
Rhode Island,2020,Missing game_id or date columns
Rice,2020,Missing game_id or date columns
Richmond,2020,Missing game_id or date columns
Rider,2020,Missing game_id or date columns
Robert Morris,2020,Missing game_id or date columns
Rutgers,2020,Missing game_id or date columns
SB,2020,Missing game_id or date columns
SC,2020,Missing game_id or date columns
SEC,2020,Missing game_id or date columns
SIU Edwardsville,2020,Missing game_id or date columns
SMU,2020,Missing game_id or date columns
SWAC,2020,Missing game_id or date columns
Sacramento St.,2020,Missing game_id or date columns
Sacred Heart,2020,Missing game_id or date columns
Saint Francis,2020,Missing game_id or date columns
Saint Joseph's,2020,Missing game_id or date columns
Saint Louis,2020,Missing game_id or date columns
Saint Mary's,2020,Missing game_id or date columns
Saint Peter's,2020,Missing game_id or date columns
Sam Houston St.,2020,Missing game_id or date columns
Samford,2020,Missing game_id or date columns
San Diego,2020,Missing game_id or date columns
San Diego St.,2020,Missing game_id or date columns
San Francisco,2020,Missing game_id or date columns
San Jose St.,2020,Missing game_id or date columns
Santa Clara,2020,Missing game_id or date columns
Seattle,2020,Missing game_id or date columns
Seton Hall,2020,Missing game_id or date columns
Siena,2020,Missing game_id or date columns
Slnd,2020,Missing game_id or date columns
South Alabama,2020,Missing game_id or date columns
South Carolina,2020,Missing game_id or date columns
South Carolina St.,2020,Missing game_id or date columns
South Dakota,2020,Missing game_id or date columns
South Dakota St.,2020,Missing game_id or date columns
South Florida,2020,Missing game_id or date columns
Southeast Missouri St.,2020,Missing game_id or date columns
Southeastern Louisiana,2020,Missing game_id or date columns
Southern,2020,Missing game_id or date columns
Southern Illinois,2020,Missing game_id or date columns
Southern Indiana,2020,Missing game_id or date columns
Southern Miss,2020,Missing game_id or date columns
Southern Utah,2020,Missing game_id or date columns
St. Bonaventure,2020,Missing game_id or date columns
St. Francis NY,2020,Missing game_id or date columns
St. John's,2020,Missing game_id or date columns
St. Thomas,2020,Missing game_id or date columns
Stanford,2020,Missing game_id or date columns
Stephen F. Austin,2020,Missing game_id or date columns
Stetson,2020,Missing game_id or date columns
Stonehill,2020,Missing game_id or date columns
Stony Brook,2020,Missing game_id or date columns
Sum,2020,Missing game_id or date columns
Syracuse,2020,Missing game_id or date columns
TCU,2020,Missing game_id or date columns
Tarleton St.,2020,Missing game_id or date columns
Temple,2020,Missing game_id or date columns
Tennessee,2020,Missing game_id or date columns
Tennessee Martin,2020,Missing game_id or date columns
Tennessee St.,2020,Missing game_id or date columns
Tennessee Tech,2020,Missing game_id or date columns
Texas,2020,Missing game_id or date columns
Texas A&M,2020,Missing game_id or date columns
Texas A&M Corpus Chris,2020,Missing game_id or date columns
Texas Southern,2020,Missing game_id or date columns
Texas St.,2020,Missing game_id or date columns
Texas Tech,2020,Missing game_id or date columns
The Citadel,2020,Missing game_id or date columns
Toledo,2020,Missing game_id or date columns
Towson,2020,Missing game_id or date columns
Troy,2020,Missing game_id or date columns
Tulane,2020,Missing game_id or date columns
Tulsa,2020,Missing game_id or date columns
UAB,2020,Missing game_id or date columns
UC Davis,2020,Missing game_id or date columns
UC Irvine,2020,Missing game_id or date columns
UC Riverside,2020,Missing game_id or date columns
UC San Diego,2020,Missing game_id or date columns
UC Santa Barbara,2020,Missing game_id or date columns
UCF,2020,Missing game_id or date columns
UCLA,2020,Missing game_id or date columns
UMBC,2020,Missing game_id or date columns
UMKC,2020,Missing game_id or date columns
UMass Lowell,2020,Missing game_id or date columns
UNC Asheville,2020,Missing game_id or date columns
UNC Greensboro,2020,Missing game_id or date columns
UNC Wilmington,2020,Missing game_id or date columns
UNLV,2020,Missing game_id or date columns
USC,2020,Missing game_id or date columns
USC Upstate,2020,Missing game_id or date columns
UT Arlington,2020,Missing game_id or date columns
UT Rio Grande Valley,2020,Missing game_id or date columns
UTEP,2020,Missing game_id or date columns
UTSA,2020,Missing game_id or date columns
Utah,2020,Missing game_id or date columns
Utah St.,2020,Missing game_id or date columns
Utah Tech,2020,Missing game_id or date columns
