rank,mae,std,hidden_dims,lr,weight_decay,batch_size,huber_delta
1,10.599169,1.1840733,"[128, 64, 32]",0.0005,0.0001,32,1.5
2,10.66096,1.1313055,"[160, 80, 40]",0.0005,0.0001,64,1.0
3,10.663845,1.135578,"[160, 80, 40]",0.001,1e-05,64,1.5
4,10.655903,1.1663612,"[128, 64, 32]",0.002,0.0001,64,1.0
5,10.619522,1.2396678,"[128, 64, 32]",0.001,1e-06,32,1.0
6,10.625342,1.2473141,"[128, 64, 32]",0.0005,1e-06,32,1.5
7,10.671383,1.1770004,"[128, 64, 32]",0.001,0.0001,64,1.0
8,10.645068,1.2309978,"[96, 48, 24]",0.001,1e-05,64,1.0
9,10.723808,1.0806551,"[128, 64, 32, 16]",0.002,0.0001,32,1.5
10,10.646277,1.237915,"[128, 64, 32]",0.0005,1e-06,64,1.5
11,10.6207695,1.3150448,"[128, 64, 32]",0.002,0.0001,64,1.5
12,10.645099,1.2757839,"[160, 80, 40]",0.0005,0.0001,32,1.5
13,10.664969,1.2375338,"[160, 80, 40]",0.001,0.0001,64,1.0
14,10.730893,1.1335635,"[128, 64, 32]",0.0005,1e-05,32,1.5
15,10.683725,1.2289329,"[128, 64, 32]",0.001,0.0001,32,1.5
16,10.677873,1.2406843,"[160, 80, 40]",0.001,1e-05,32,1.5
17,10.687528,1.2342067,"[160, 80, 40]",0.0005,1e-06,64,1.5
18,10.677042,1.2667109,"[160, 80, 40]",0.001,0.0001,64,1.5
19,10.691873,1.2433442,"[160, 80, 40]",0.0005,1e-06,32,1.5
20,10.729604,1.1794508,"[96, 48, 24]",0.001,1e-05,32,1.5
21,10.72443,1.2181987,"[96, 48, 24]",0.002,0.0001,32,1.5
22,10.720161,1.2281169,"[128, 64, 32]",0.002,0.0001,32,1.5
23,10.716559,1.2442452,"[128, 64, 32]",0.001,0.0001,64,1.5
24,10.723938,1.231005,"[128, 64, 32]",0.001,0.0001,32,1.0
25,10.726598,1.2273237,"[160, 80, 40]",0.0005,1e-06,32,1.0
26,10.730609,1.2200586,"[128, 64, 32, 16]",0.001,1e-06,32,1.0
27,10.721689,1.2396964,"[160, 80, 40]",0.0005,1e-05,64,1.5
28,10.715502,1.2585588,"[128, 64, 32]",0.002,1e-06,32,1.5
29,10.750776,1.198259,"[128, 64, 32]",0.001,1e-05,32,1.5
30,10.768001,1.1644737,"[128, 64, 32]",0.0005,0.0001,64,1.5
31,10.720925,1.265447,"[128, 64, 32]",0.002,1e-05,32,1.5
32,10.72101,1.294214,"[160, 80, 40]",0.0005,1e-05,32,1.5
33,10.773964,1.1927357,"[96, 48, 24]",0.0005,1e-06,32,1.0
34,10.808153,1.1270695,"[160, 80, 40]",0.0005,1e-05,64,1.0
35,10.778955,1.2005018,"[96, 48, 24]",0.001,0.0001,64,1.0
36,10.7646055,1.230979,"[128, 64, 32]",0.001,1e-05,64,1.5
37,10.767044,1.2303987,"[96, 48, 24]",0.001,1e-06,64,1.5
38,10.779123,1.2105575,"[160, 80, 40]",0.002,1e-05,64,1.5
39,10.784145,1.2010987,"[160, 80, 40]",0.0005,1e-06,64,1.0
40,10.746522,1.2798624,"[160, 80, 40]",0.001,1e-05,64,1.0
41,10.805358,1.1627018,"[128, 64, 32, 16]",0.001,1e-06,64,1.5
42,10.724569,1.3248364,"[128, 64, 32]",0.0005,0.0001,32,1.0
43,10.7897005,1.2081869,"[160, 80, 40]",0.001,1e-06,32,1.5
44,10.782816,1.2232233,"[128, 64, 32]",0.001,1e-05,32,1.0
45,10.732605,1.3277519,"[96, 48, 24]",0.002,1e-05,64,1.0
46,10.812444,1.1726328,"[128, 64, 32, 16]",0.001,1e-05,32,1.0
47,10.845946,1.1121649,"[128, 64, 32, 16]",0.001,0.0001,32,1.5
48,10.787881,1.229017,"[128, 64, 32, 16]",0.002,1e-05,32,1.0
49,10.760541,1.2911004,"[96, 48, 24]",0.002,1e-06,32,1.0
50,10.731601,1.3506471,"[128, 64, 32, 16]",0.002,1e-06,64,1.0
51,10.796074,1.2275189,"[96, 48, 24]",0.002,1e-06,64,1.0
52,10.760565,1.2998074,"[160, 80, 40]",0.001,0.0001,32,1.0
53,10.762935,1.3065056,"[128, 64, 32]",0.002,1e-05,64,1.5
54,10.787521,1.260401,"[160, 80, 40]",0.002,0.0001,64,1.0
55,10.830954,1.1835487,"[128, 64, 32, 16]",0.002,1e-06,32,1.0
56,10.761699,1.3312973,"[160, 80, 40]",0.001,1e-05,32,1.0
57,10.805674,1.2520164,"[160, 80, 40]",0.001,1e-06,64,1.0
58,10.806597,1.261634,"[128, 64, 32]",0.0005,1e-06,64,1.0
59,10.85904,1.1582284,"[96, 48, 24]",0.002,1e-05,32,1.5
60,10.861066,1.1586196,"[160, 80, 40]",0.002,0.0001,32,1.0
61,10.780142,1.3474115,"[160, 80, 40]",0.001,0.0001,32,1.5
62,10.91672,1.0751219,"[96, 48, 24]",0.0005,0.0001,32,1.0
63,10.816866,1.2800992,"[128, 64, 32]",0.0005,1e-05,32,1.0
64,10.856213,1.2015188,"[128, 64, 32]",0.002,0.0001,32,1.0
65,10.87314,1.1688607,"[128, 64, 32, 16]",0.002,1e-05,64,1.0
66,10.825834,1.2658055,"[96, 48, 24]",0.002,0.0001,64,1.5
67,10.831464,1.2555026,"[96, 48, 24]",0.001,1e-06,64,1.0
68,10.892761,1.1342356,"[160, 80, 40]",0.001,1e-06,32,1.0
69,10.829484,1.2659018,"[160, 80, 40]",0.001,1e-06,64,1.5
70,10.861137,1.2026175,"[96, 48, 24]",0.0005,0.0001,32,1.5
71,10.8371725,1.2519457,"[160, 80, 40]",0.002,1e-06,32,1.0
72,10.828379,1.2707231,"[128, 64, 32, 16]",0.0005,1e-05,32,1.0
73,10.828438,1.2751018,"[160, 80, 40]",0.0005,1e-05,32,1.0
74,10.840066,1.2567619,"[96, 48, 24]",0.001,1e-05,32,1.0
75,10.76797,1.4015081,"[160, 80, 40]",0.002,0.0001,64,1.5
76,10.846465,1.2481363,"[128, 64, 32, 16]",0.002,0.0001,64,1.0
77,10.910006,1.1257348,"[96, 48, 24]",0.0005,1e-05,64,1.5
78,10.809353,1.3289963,"[160, 80, 40]",0.002,1e-06,32,1.5
79,10.83593,1.2816393,"[128, 64, 32]",0.001,1e-06,64,1.0
80,10.854118,1.2573614,"[96, 48, 24]",0.002,1e-06,64,1.5
81,10.9013195,1.1647015,"[160, 80, 40]",0.002,1e-06,64,1.5
82,10.89329,1.1833146,"[96, 48, 24]",0.001,0.0001,32,1.0
83,10.861391,1.2526189,"[96, 48, 24]",0.001,1e-06,32,1.0
84,10.915674,1.1472628,"[160, 80, 40]",0.0005,0.0001,32,1.0
85,10.882667,1.2141246,"[128, 64, 32]",0.002,1e-05,64,1.0
86,10.902832,1.1749014,"[128, 64, 32]",0.0005,1e-05,64,1.0
87,10.879203,1.2280003,"[128, 64, 32]",0.002,1e-06,64,1.0
88,10.922037,1.1660404,"[160, 80, 40]",0.002,1e-06,64,1.0
89,10.866197,1.2828094,"[128, 64, 32]",0.001,1e-06,32,1.5
90,10.896909,1.2425628,"[96, 48, 24]",0.002,1e-05,32,1.0
91,10.872076,1.2999849,"[160, 80, 40]",0.002,0.0001,32,1.5
