Date,Away,Home,pt_spread,team_name,team_members,email
2026-02-07,Syracuse,Virginia,,,,
2026-02-07,Louisville,Wake Forest,,,,
2026-02-07,Virginia Tech,NC State,,,,
2026-02-07,Miami,Boston College,,,,
2026-02-07,SMU,Pitt,,,,
2026-02-07,Florida State,Notre Dame,,,,
2026-02-07,Duke,North Carolina,,,,
2026-02-07,Clemson,California,,,,
2026-02-07,Georgia Tech,Stanford,,,,
2026-02-09,NC State,Louisville,,,,
2026-02-10,Virginia,Florida State,,,,
2026-02-10,North Carolina,Miami,,,,
2026-02-10,Notre Dame,SMU,,,,
2026-02-10,Duke,Pitt,,,,
2026-02-11,Virginia Tech,Clemson,,,,
2026-02-11,California,Syracuse,,,,
2026-02-11,Stanford,Boston College,,,,
2026-02-11,Wake Forest,Georgia Tech,,,,
2026-02-14,Clemson,Duke,,,,
2026-02-14,Georgia Tech,Notre Dame,,,,
2026-02-14,California,Boston College,,,,
2026-02-14,Florida State,Virginia Tech,,,,
2026-02-14,Pitt,North Carolina,,,,
2026-02-14,SMU,Syracuse,,,,
2026-02-14,Miami,NC State,,,,
2026-02-14,Stanford,Wake Forest,,,,
2026-02-14,Baylor,Louisville,,,,
2026-02-14,Ohio State,Virginia,,,,
2026-02-16,Syracuse,Duke,,,,
2026-02-17,Boston College,Florida State,,,,
2026-02-17,North Carolina,NC State,,,,
2026-02-17,Louisville,SMU,,,,
2026-02-17,Virginia Tech,Miami,,,,
2026-02-18,Clemson,Wake Forest,,,,
2026-02-18,Virginia,Georgia Tech,,,,
2026-02-21,Wake Forest,Virginia Tech,,,,
2026-02-21,Florida State,Clemson,,,,
2026-02-21,North Carolina,Syracuse,,,,
2026-02-21,Notre Dame,Pitt,,,,
2026-02-21,Miami,Virginia,,,,
2026-02-21,Georgia Tech,Louisville,,,,
2026-02-21,Boston College,SMU,,,,
2026-02-21,Stanford,California,,,,
2026-02-21,Michigan,Duke,,,,
2026-02-23,Louisville,North Carolina,,,,
2026-02-24,Duke,Notre Dame,,,,
2026-02-24,Wake Forest,Boston College,,,,
2026-02-24,NC State,Virginia,,,,
2026-02-24,Miami,Florida State,,,,
2026-02-25,Pitt,Stanford,,,,
2026-02-25,SMU,California,,,,
2026-02-28,Virginia,Duke,,,,
2026-02-28,Florida State,Georgia Tech,,,,
2026-02-28,NC State,Notre Dame,,,,
2026-02-28,Boston College,Miami,,,,
2026-02-28,Pitt,California,,,,
2026-02-28,Syracuse,Wake Forest,,,,
2026-02-28,SMU,Stanford,,,,
2026-02-28,Louisville,Clemson,,,,
2026-02-28,Virginia Tech,North Carolina,,,,
2026-03-02,Duke,NC State,,,,
2026-03-03,Wake Forest,Virginia,,,,
2026-03-03,Clemson,North Carolina,,,,
2026-03-03,Syracuse,Louisville,,,,
2026-03-03,Boston College,Virginia Tech,,,,
2026-03-04,California,Georgia Tech,,,,
2026-03-04,Miami,SMU,,,,
2026-03-04,Stanford,Notre Dame,,,,
2026-03-04,Florida State,Pitt,,,,
2026-03-07,Notre Dame,Boston College,,,,
2026-03-07,Georgia Tech,Clemson,,,,
2026-03-07,Virginia Tech,Virginia,,,,
2026-03-07,SMU,Florida State,,,,
2026-03-07,Louisville,Miami,,,,
2026-03-07,Stanford,NC State,,,,
2026-03-07,California,Wake Forest,,,,
2026-03-07,Pitt,Syracuse,,,,
2026-03-07,North Carolina,Duke,,,,
