team,momentum_win_streak,momentum_loss_streak,momentum_recent_win_pct,momentum_recent_avg_margin,momentum_games_played,blowout_avg_margin_victory,blowout_avg_margin_defeat,blowout_blowout_win_rate,blowout_blowout_loss_rate,blowout_close_game_win_rate,home_court_advantage
Baylor,0,1,0.4,1.0,186,17.11888111888112,-9.279069767441861,0.34408602150537637,0.04838709677419355,0.5853658536585366,10.0
Boston College,0,4,0.2,-9.8,176,10.32876712328767,-13.300970873786408,0.125,0.23295454545454544,0.5208333333333334,3.5
California,0,2,0.2,-3.4,185,10.523809523809524,-12.868852459016393,0.08648648648648649,0.23783783783783785,0.3958333333333333,10.0
Clemson,5,0,1.0,13.0,181,13.838983050847459,-9.174603174603174,0.2541436464088398,0.07734806629834254,0.4791666666666667,5.529411764705882
Duke,5,0,1.0,30.4,184,19.0625,-7.7,0.44021739130434784,0.03260869565217391,0.47368421052631576,10.0
Florida State,0,0,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,3.5
Georgia Tech,0,1,0.6,1.0,183,12.098901098901099,-11.880434782608695,0.18579234972677597,0.14754098360655737,0.5490196078431373,9.270848182466144
Louisville,5,0,1.0,12.2,175,13.96551724137931,-13.715909090909092,0.2057142857142857,0.19428571428571428,0.6071428571428571,9.330344827586206
Miami,0,0,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,3.5
Michigan,0,2,0.4,-6.8,183,14.77570093457944,-10.25,0.25136612021857924,0.1092896174863388,0.45652173913043476,10.0
NC State,0,1,0.4,-4.2,183,13.697916666666666,-10.068965517241379,0.21311475409836064,0.09836065573770492,0.4666666666666667,9.592705167173252
North Carolina,1,0,0.8,12.6,187,13.932773109243698,-9.058823529411764,0.2620320855614973,0.06417112299465241,0.4222222222222222,9.76625386996904
Notre Dame,2,0,0.6,-2.0,181,11.539325842696629,-9.445652173913043,0.15469613259668508,0.09944751381215469,0.46153846153846156,10.0
Ohio State,0,0,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,3.5
Pitt,0,0,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,3.5
SMU,0,1,0.4,-3.2,169,14.759615384615385,-10.553846153846154,0.2603550295857988,0.11834319526627218,0.5,10.0
Stanford,0,2,0.6,1.2,182,13.610526315789473,-11.275862068965518,0.2032967032967033,0.12087912087912088,0.375,10.0
Syracuse,1,0,0.4,1.8,184,12.98,-11.833333333333334,0.17391304347826086,0.15760869565217392,0.45098039215686275,8.428571428571429
Virginia,1,0,0.6,2.2,180,12.107438016528926,-12.016949152542374,0.2,0.12222222222222222,0.6923076923076923,10.0
Virginia Tech,0,2,0.4,-7.2,179,15.080808080808081,-10.775,0.2346368715083799,0.1340782122905028,0.4897959183673469,10.0
Wake Forest,1,0,0.4,-4.8,177,13.59,-10.376623376623376,0.22598870056497175,0.1016949152542373,0.5,10.0
