team,off_efficiency,def_efficiency,ppg,opp_ppg,pace,power_rating,win_pct
Michigan,127.54500018420858,90.29325773959052,89.28150012894599,63.205280417713354,70.0,37.25174244461806,0.8967186542689799
Duke,125.50983549803088,93.92610511486528,87.85688484862162,65.7482735804057,70.0,31.5837303831656,0.8909650943343985
Louisville,124.65343101762248,98.4284276752669,87.25740171233574,68.89989937268683,70.0,26.225003342355578,0.7086605868385906
Virginia,125.19100602251724,98.99456921138264,87.63370421576207,69.29619844796784,70.0,26.196436811134603,0.8275109312674719
Clemson,116.61526639109448,94.127480032776,81.63068647376613,65.8892360229432,70.0,22.487786358318473,0.769542410027234
NC State,122.950754073281,99.54829666422695,86.0655278512967,69.68380766495886,70.0,23.40245740905405,0.6891052933523102
North Carolina,123.40602390657888,101.61852753763004,86.38421673460522,71.13296927634103,70.0,21.787496368948837,0.7262521306837822
SMU,124.17692443330864,103.99816100356053,86.92384710331605,72.79871270249237,70.0,20.178763429748116,0.6913737054289865
Ohio State,123.000315380623,104.3090821655074,86.1002207664361,73.01635751585518,70.0,18.691233215115588,0.5952939790575802
Miami,119.24316120571848,102.29842215538,83.47021284400293,71.608895508766,70.0,16.944739050338484,0.6947756939110182
Syracuse,115.42451929154964,102.33688673279364,80.79716350408475,71.63582071295555,70.0,13.087632558755999,0.5251347216260941
California,113.75097962510382,101.0989994682293,79.62568573757267,70.7692996277605,70.0,12.65198015687453,0.6821204915537963
Baylor,119.90973921143996,106.713035581643,83.93681744800796,74.6991249071501,70.0,13.196703629796957,0.5105146704312045
Virginia Tech,114.63601905695069,102.1965244778884,80.24521333986547,71.53756713452188,70.0,12.439494579062284,0.6169710341358348
Wake Forest,114.84670554315844,103.9194564666392,80.3926938802109,72.74361952664744,70.0,10.927249076519232,0.4837218190677705
Stanford,114.12695025891452,103.84568751622275,79.88886518124016,72.69198126135592,70.0,10.281262742691766,0.5789993395707893
Notre Dame,113.89978753983294,105.22758656978284,79.72985127788306,73.65931059884798,70.0,8.672200970050099,0.47052739602953786
Florida State,113.92510474332413,105.72210504707384,79.74757332032688,74.00547353295168,70.0,8.202999696250288,0.43034964148981497
Pitt,113.98768402796247,106.90912182580828,79.79137881957372,74.83638527806579,70.0,7.078562202154188,0.3737011122405195
Boston College,103.07601667175932,100.34939279832736,72.15321167023151,70.24457495882915,70.0,2.7266238734319614,0.37796433570062
Georgia Tech,108.05424615059944,105.3133789677546,75.63797230541961,73.71936527742821,70.0,2.7408671828448377,0.4247355059034733
