team,team_id,abbreviation,location
Abilene Christian Wildcats,2000,ACU,Abilene Christian
Air Force Falcons,2005,AF,Air Force
Akron Zips,2006,AKR,Akron
Alabama A&M Bulldogs,2010,AAMU,Alabama A&M
Alabama Crimson Tide,333,ALA,Alabama
Alabama State Hornets,2011,ALST,Alabama State
Alcorn State Braves,2016,ALCN,Alcorn State
American University Eagles,44,AMER,American University
App State Mountaineers,2026,APP,App State
Arizona State Sun Devils,9,ASU,Arizona State
Arizona Wildcats,12,ARIZ,Arizona
Arkansas Razorbacks,8,ARK,Arkansas
Arkansas State Red Wolves,2032,ARST,Arkansas State
Arkansas-Pine Bluff Golden Lions,2029,UAPB,Arkansas-Pine Bluff
Army Black Knights,349,ARMY,Army
Auburn Tigers,2,AUB,Auburn
Austin Peay Governors,2046,APSU,Austin Peay
BYU Cougars,252,BYU,BYU
Ball State Cardinals,2050,BALL,Ball State
Baylor Bears,239,BAY,Baylor
Bellarmine Knights,91,BELL,Bellarmine
Belmont Bruins,2057,BEL,Belmont
Bethune-Cookman Wildcats,2065,BCU,Bethune-Cookman
Binghamton Bearcats,2066,BING,Binghamton
Boise State Broncos,68,BOIS,Boise State
Boston College Eagles,103,BC,Boston College
Boston University Terriers,104,BU,Boston University
Bowling Green Falcons,189,BGSU,Bowling Green
Bradley Braves,71,BRAD,Bradley
Brown Bears,225,BRWN,Brown
Bryant Bulldogs,2803,BRY,Bryant
Bucknell Bison,2083,BUCK,Bucknell
Buffalo Bulls,2084,BUF,Buffalo
Butler Bulldogs,2086,BUT,Butler
Cal Poly Mustangs,13,CP,Cal Poly
Cal State Bakersfield Roadrunners,2934,CSUB,Cal State Bakersfield
Cal State Fullerton Titans,2239,CSUF,Cal State Fullerton
Cal State Northridge Matadors,2463,CSUN,Cal State Northridge
California Baptist Lancers,2856,CBU,California Baptist
California Golden Bears,25,CAL,California
Campbell Fighting Camels,2097,CAM,Campbell
Canisius Golden Griffins,2099,CAN,Canisius
Central Arkansas Bears,2110,CARK,Central Arkansas
Central Connecticut Blue Devils,2115,CCSU,Central Connecticut
Central Michigan Chippewas,2117,CMU,Central Michigan
Charleston Cougars,232,COFC,Charleston
Charleston Southern Buccaneers,2127,CHSO,Charleston Southern
Charlotte 49ers,2429,CLT,Charlotte
Chattanooga Mocs,236,UTC,Chattanooga
Chicago State Cougars,2130,CHST,Chicago State
Cincinnati Bearcats,2132,CIN,Cincinnati
Clemson Tigers,228,CLEM,Clemson
Cleveland State Vikings,325,CLE,Cleveland State
Coastal Carolina Chanticleers,324,CCU,Coastal Carolina
Colgate Raiders,2142,COLG,Colgate
Colorado Buffaloes,38,COLO,Colorado
Colorado State Rams,36,CSU,Colorado State
Columbia Lions,171,COLU,Columbia
Coppin State Eagles,2154,COPP,Coppin State
Cornell Big Red,172,COR,Cornell
Creighton Bluejays,156,CREI,Creighton
Dartmouth Big Green,159,DART,Dartmouth
Davidson Wildcats,2166,DAV,Davidson
Dayton Flyers,2168,DAY,Dayton
DePaul Blue Demons,305,DEP,DePaul
Delaware Blue Hens,48,DEL,Delaware
Delaware State Hornets,2169,DSU,Delaware State
Denver Pioneers,2172,DEN,Denver
Detroit Mercy Titans,2174,DETM,Detroit Mercy
Drake Bulldogs,2181,DRKE,Drake
Drexel Dragons,2182,DREX,Drexel
Duke Blue Devils,150,DUKE,Duke
Duquesne Dukes,2184,DUQ,Duquesne
East Carolina Pirates,151,ECU,East Carolina
East Tennessee State Buccaneers,2193,ETSU,East Tennessee State
East Texas A&M Lions,2837,ETAM,East Texas A&M
Eastern Illinois Panthers,2197,EIU,Eastern Illinois
Eastern Kentucky Colonels,2198,EKU,Eastern Kentucky
Eastern Michigan Eagles,2199,EMU,Eastern Michigan
Eastern Washington Eagles,331,EWU,Eastern Washington
Elon Phoenix,2210,ELON,Elon
Evansville Purple Aces,339,EVAN,Evansville
Fairfield Stags,2217,FAIR,Fairfield
Fairleigh Dickinson Knights,161,FDU,Fairleigh Dickinson
Florida A&M Rattlers,50,FAMU,Florida A&M
Florida Atlantic Owls,2226,FAU,Florida Atlantic
Florida Gators,57,FLA,Florida
Florida Gulf Coast Eagles,526,FGCU,Florida Gulf Coast
Florida International Panthers,2229,FIU,Florida International
Florida State Seminoles,52,FSU,Florida State
Fordham Rams,2230,FOR,Fordham
Fresno State Bulldogs,278,FRES,Fresno State
Furman Paladins,231,FUR,Furman
Gardner-Webb Runnin' Bulldogs,2241,GWEB,Gardner-Webb
George Mason Patriots,2244,GMU,George Mason
George Washington Revolutionaries,45,GW,George Washington
Georgetown Hoyas,46,GTWN,Georgetown
Georgia Bulldogs,61,UGA,Georgia
Georgia Southern Eagles,290,GASO,Georgia Southern
Georgia State Panthers,2247,GAST,Georgia State
Georgia Tech Yellow Jackets,59,GT,Georgia Tech
Gonzaga Bulldogs,2250,GONZ,Gonzaga
Grambling Tigers,2755,GRAM,Grambling
Grand Canyon Lopes,2253,GCU,Grand Canyon
Green Bay Phoenix,2739,GB,Green Bay
Hampton Pirates,2261,HAMP,Hampton
Harvard Crimson,108,HARV,Harvard
Hawai'i Rainbow Warriors,62,HAW,Hawai'i
High Point Panthers,2272,HPU,High Point
Hofstra Pride,2275,HOF,Hofstra
Holy Cross Crusaders,107,HC,Holy Cross
Houston Christian Huskies,2277,HCU,Houston Christian
Houston Cougars,248,HOU,Houston
Howard Bison,47,HOW,Howard
IU Indianapolis Jaguars,85,IUIN,IU Indianapolis
Idaho State Bengals,304,IDST,Idaho State
Idaho Vandals,70,IDHO,Idaho
Illinois Fighting Illini,356,ILL,Illinois
Illinois State Redbirds,2287,ILST,Illinois State
Incarnate Word Cardinals,2916,UIW,Incarnate Word
Indiana Hoosiers,84,IU,Indiana
Indiana State Sycamores,282,INST,Indiana State
Iona Gaels,314,IONA,Iona
Iowa Hawkeyes,2294,IOWA,Iowa
Iowa State Cyclones,66,ISU,Iowa State
Jackson State Tigers,2296,JKST,Jackson State
Jacksonville Dolphins,294,JAX,Jacksonville
Jacksonville State Gamecocks,55,JXST,Jacksonville State
James Madison Dukes,256,JMU,James Madison
Kansas City Roos,140,KC,Kansas City
Kansas Jayhawks,2305,KU,Kansas
Kansas State Wildcats,2306,KSU,Kansas State
Kennesaw State Owls,338,KENN,Kennesaw State
Kent State Golden Flashes,2309,KENT,Kent State
Kentucky Wildcats,96,UK,Kentucky
LSU Tigers,99,LSU,LSU
La Salle Explorers,2325,LAS,La Salle
Lafayette Leopards,322,LAF,Lafayette
Lamar Cardinals,2320,LAM,Lamar
Le Moyne Dolphins,2330,LEM,Le Moyne
Lehigh Mountain Hawks,2329,LEH,Lehigh
