year,month,day,team,opponent,location,teamscore,oppscore,canceled,postponed,OT,D1
2020,11,25,A&M-Corpus Christi,Tex. A&M Int'l,H,64.0,53.0,False,False,,1
2020,11,28,A&M-Corpus Christi,Texas St.,H,63.0,75.0,False,False,,2
2020,11,30,A&M-Corpus Christi,SMU,V,54.0,91.0,False,False,,2
2020,12,2,A&M-Corpus Christi,UTRGV,V,59.0,62.0,False,False,,2
2020,12,10,A&M-Corpus Christi,UTRGV,H,64.0,68.0,False,False,,2
2020,12,12,A&M-Corpus Christi,Texas Tech,N,57.0,77.0,False,False,,2
2020,12,15,A&M-Corpus Christi,Texas St.,V,46.0,51.0,False,False,,2
2020,12,19,A&M-Corpus Christi,Our Lady of the Lake,H,99.0,72.0,False,False,,1
2020,12,22,A&M-Corpus Christi,Paul Quinn,H,59.0,35.0,False,False,,1
2020,12,23,A&M-Corpus Christi,Paul Quinn,H,,,True,False,,1
2020,12,29,A&M-Corpus Christi,Texas,V,,,True,False,,2
2021,1,13,A&M-Corpus Christi,Southeastern La.,V,63.0,76.0,False,False,,2
2021,1,20,A&M-Corpus Christi,New Orleans,V,68.0,87.0,False,False,,2
2021,1,23,A&M-Corpus Christi,UIW,V,53.0,72.0,False,False,,2
2021,1,27,A&M-Corpus Christi,Sam Houston,H,70.0,75.0,False,False,,1
2021,2,3,A&M-Corpus Christi,SFA,H,75.0,84.0,False,False,,2
2021,2,6,A&M-Corpus Christi,UIW,H,53.0,58.0,False,False,,2
2021,2,8,A&M-Corpus Christi,Abilene Christian,H,69.0,82.0,False,False,,2
2021,2,10,A&M-Corpus Christi,SFA,V,68.0,80.0,False,False,,2
2021,2,13,A&M-Corpus Christi,Abilene Christian,V,55.0,83.0,False,False,,2
2021,2,15,A&M-Corpus Christi,Houston Baptist,H,,,False,True,,2
2021,2,20,A&M-Corpus Christi,Lamar University,H,77.0,68.0,False,False,,2
2021,2,22,A&M-Corpus Christi,Southeastern La.,H,75.0,78.0,False,False,,2
2021,2,24,A&M-Corpus Christi,New Orleans,H,61.0,69.0,False,False,,2
2021,3,1,A&M-Corpus Christi,Lamar University,V,47.0,66.0,False,False,,2
2021,3,3,A&M-Corpus Christi,Sam Houston,V,61.0,84.0,False,False,,1
2021,3,6,A&M-Corpus Christi,Houston Baptist,V,94.0,70.0,False,False,,2
2020,11,25,Abilene Christian,ETSU,N,70.0,47.0,False,False,,2
2020,11,27,Abilene Christian,Austin Peay,N,80.0,72.0,False,False,,2
2020,11,28,Abilene Christian,Omaha,N,70.0,58.0,False,False,,2
2020,12,1,Abilene Christian,Howard Payne,H,81.0,51.0,False,False,,1
2020,12,5,Abilene Christian,Tarleton St.,H,69.0,48.0,False,False,,2
2020,12,9,Abilene Christian,Texas Tech,V,44.0,51.0,False,False,,2
2020,12,12,Abilene Christian,McMurry,H,83.0,46.0,False,False,,1
2020,12,16,Abilene Christian,Hardin-Simmons,H,95.0,73.0,False,False,,1
2020,12,22,Abilene Christian,Arkansas,V,72.0,85.0,False,False,,2
2020,12,29,Abilene Christian,Dallas Christian,H,82.0,44.0,False,False,,1
2021,1,2,Abilene Christian,Lamar University,H,83.0,65.0,False,False,,2
2021,1,6,Abilene Christian,Houston Baptist,V,66.0,63.0,False,False,,2
2021,1,16,Abilene Christian,Southeastern La.,H,76.0,42.0,False,False,,2
2021,1,20,Abilene Christian,Sam Houston,V,57.0,64.0,False,False,,1
2021,1,23,Abilene Christian,Central Ark.,H,93.0,58.0,False,False,,2
2021,1,27,Abilene Christian,SFA,H,82.0,62.0,False,False,,2
2021,1,30,Abilene Christian,UIW,V,75.0,67.0,False,False,,2
