date,home_team,away_team,home_score,away_score,neutral_site,season,margin
2019-11-05,Abilene Christian,Arlington Baptist,90.0,39.0,False,2020,51.0
2019-11-05,N.C. A&T,UNC Greensboro,50.0,83.0,True,2020,-33.0
2019-11-05,Nebraska,UC Riverside,47.0,66.0,False,2020,-19.0
2019-11-05,Nevada,Utah,74.0,79.0,False,2020,-5.0
2019-11-05,New Hampshire,Curry,93.0,29.0,False,2020,64.0
2019-11-05,New Mexico St.,Western N.M.,92.0,46.0,False,2020,46.0
2019-11-05,New Orleans,Spring Hill,114.0,58.0,False,2020,56.0
2019-11-05,Morehead St.,Samford,90.0,86.0,False,2020,4.0
2019-11-05,Norfolk St.,Greensboro,100.0,59.0,False,2020,41.0
2019-11-05,Northern Colo.,Texas,45.0,69.0,True,2020,-24.0
2019-11-05,Northern Ky.,UC Clermont,105.0,55.0,False,2020,50.0
2019-11-05,Northwestern St.,Centenary (LA),84.0,57.0,False,2020,27.0
2019-11-05,Oakland,Goshen,94.0,66.0,False,2020,28.0
2019-11-05,Ohio,St. Bonaventure,65.0,53.0,True,2020,12.0
2019-11-05,Oklahoma,UTSA,85.0,67.0,False,2020,18.0
2019-11-05,North Texas,Okla. Christian,79.0,40.0,False,2020,39.0
2019-11-05,Montana St.,Utah St.,73.0,81.0,True,2020,-8.0
2019-11-05,Milwaukee,Concordia Wisconsin,72.0,62.0,False,2020,10.0
2019-11-05,Middle Tenn.,Maryville (TN),119.0,61.0,False,2020,58.0
2019-11-05,Kentucky,Michigan St.,69.0,62.0,True,2020,7.0
2019-11-05,LIU,Rhode Island,65.0,76.0,True,2020,-11.0
2019-11-05,LMU (CA),Westcliff,105.0,62.0,False,2020,43.0
2019-11-05,La.-Monroe,Louisiana Col.,64.0,41.0,False,2020,23.0
2019-11-05,Lamar University,Champion Chris.,86.0,40.0,False,2020,46.0
2019-11-05,Lehigh,Monmouth,62.0,66.0,False,2020,-4.0
2019-11-05,Lipscomb,Rhodes,104.0,55.0,False,2020,49.0
