Rk,Team,Eff,FTAR,FT%,FGAR,FG%,3PAR,3P%,MRAR,MR%,NPAR,NP%,PPSt,PPSC,SCC%,%3PA,%MRA,%NPA,Prox,AP%
1,Duke (35-4),133.49,32.90,78.54,90.43,51.19,37.41,40.30,15.18,43.57,37.84,65.00,13.25,19.35,8.72,41.38,16.78,41.84,1.995,1.000
2,Houston (35-5),126.86,27.39,74.96,96.80,47.82,33.04,41.63,37.07,39.26,26.70,67.38,14.27,18.94,8.00,34.13,38.30,27.58,2.065,0.997
3,Florida (36-4),129.21,33.53,72.99,89.69,49.96,39.28,38.49,15.51,37.62,34.90,68.36,14.61,17.94,8.01,43.80,17.30,38.91,2.049,0.994
4,Auburn (32-6),127.99,32.60,72.28,91.30,49.81,35.80,37.61,21.65,45.26,33.86,65.63,14.92,16.37,7.59,39.21,23.71,37.08,2.021,0.992
5,Tennessee (30-8),123.12,33.20,74.59,89.81,47.23,38.63,34.97,18.33,42.04,32.85,64.55,13.20,16.42,7.89,43.01,20.41,36.58,2.064,0.989
6,Maryland (27-9),124.30,31.87,76.60,89.61,48.67,30.95,40.91,24.04,40.26,34.61,61.45,15.56,17.07,8.46,34.54,26.83,38.63,1.959,0.986
7,Gonzaga (26-9),126.95,28.04,80.07,90.49,51.27,31.19,37.59,25.82,46.46,33.48,67.72,13.83,16.93,7.97,34.47,28.53,37.00,1.975,0.983
8,Alabama (28-9),126.45,33.79,72.29,86.44,50.53,38.63,37.97,11.01,49.31,36.81,64.08,13.22,16.88,7.82,44.69,12.73,42.58,2.021,0.981
9,Michigan State (30-7),122.24,34.56,78.23,89.09,47.50,30.16,35.05,25.80,38.21,33.12,66.08,10.81,18.14,8.05,33.86,28.96,37.18,1.967,0.978
10,Wisconsin (27-10),125.14,31.78,83.67,87.52,47.76,41.08,36.39,14.48,43.88,31.95,64.15,9.28,13.72,6.31,46.94,16.55,36.51,2.104,0.975
11,Texas Tech (28-9),126.66,28.31,75.42,95.42,47.23,41.13,36.89,23.32,43.08,30.98,64.08,12.53,19.71,7.39,43.10,24.43,32.47,2.106,0.972
