date,away_team,home_team,away_score,home_score,vegas_spread,season,actual_margin,home_team_norm,away_team_norm,model_prediction,model_error,vegas_error,model_closer
2020-11-25,Oakland,Xavier,49,101,16.0,2020-21,52,Xavier,Oakland,20.47081753571909,31.52918246428091,36.0,True
2020-11-25,Lamar,Houston,45,89,22.0,2020-21,44,Houston,Lamar,36.30470271169669,7.695297288303308,22.0,True
2020-11-25,Towson,Virginia,54,89,18.5,2020-21,35,Virginia,Towson,10.663985294633346,24.336014705366654,16.5,False
2020-11-25,Radford,VirginiaTech,62,77,19.0,2020-21,15,Virginia Tech,Radford,9.348736770589813,5.651263229410187,4.0,False
2020-11-25,California,OregonState,63,71,2.0,2020-21,8,Oregon St.,California,10.46312307693441,2.4631230769344103,6.0,True
2020-11-25,Evansville,Louisville,44,79,21.0,2020-21,35,Louisville,Evansville,27.07287492498443,7.927125075015571,14.0,True
2020-11-25,Toledo,Bradley,59,61,3.0,2020-21,2,Bradley,Toledo,13.325000918410662,11.325000918410662,1.0,False
2020-11-25,Fairfield,Providence,56,97,18.0,2020-21,41,Providence,Fairfield,15.125540546516888,25.874459453483112,23.0,False
2020-11-25,Drake,KansasState,80,70,4.0,2020-21,-10,Kansas St.,Drake,1.7587468024741608,11.75874680247416,14.0,True
2020-11-25,WiscGreenBay,Minnesota,69,99,19.0,2020-21,30,Minnesota,Green Bay,26.052742575508688,3.947257424491312,11.0,True
2020-11-26,SanFrancisco,Towson,79,68,-8.0,2020-21,-11,Towson,San Francisco,2.679018966089515,13.679018966089515,3.0,False
2020-11-26,Howard,Belmont,78,95,14.5,2020-21,17,Belmont,Howard,22.354127897829535,5.354127897829535,2.5,False
2020-11-26,Bradley,Xavier,50,51,10.0,2020-21,1,Xavier,Bradley,13.247524959290548,12.247524959290548,9.0,False
2020-11-26,Nevada,Nebraska,69,66,5.0,2020-21,-3,Nebraska,Nevada,8.836968879041166,11.836968879041166,8.0,False
2020-11-26,Gonzaga,Kansas,102,90,-4.0,2020-21,-12,Kansas,Gonzaga,2.1051102569176545,14.105110256917655,8.0,False
2020-11-26,Toledo,Oakland,80,53,-10.5,2020-21,-27,Oakland,Toledo,7.02984483581578,34.02984483581578,16.5,False
2020-11-27,Lamar,Tulane,57,66,10.0,2020-21,9,Tulane,Lamar,13.554771461502058,4.5547714615020585,1.0,False
2020-11-27,Navy,Maryland,52,82,16.0,2020-21,30,Maryland,Navy,15.79646490965802,14.20353509034198,14.0,False
2020-11-27,Bryant,Syracuse,84,85,22.5,2020-21,1,Syracuse,Bryant,10.852151706805918,9.852151706805918,21.5,True
2020-11-27,Southern,Iowa,76,103,27.5,2020-21,27,Iowa,Southern,26.467608985128724,0.5323910148712763,0.5,False
2020-11-27,Longwood,WakeForest,60,71,20.5,2020-21,11,Wake Forest,Longwood,15.876012470487602,4.876012470487602,9.5,True
2020-11-27,Hartford,Connecticut,57,69,23.5,2020-21,12,Connecticut,Hartford,14.501095948649297,2.501095948649297,11.5,True
2020-11-27,Colorado,KansasState,76,58,-5.0,2020-21,-18,Kansas St.,Colorado,7.289230516209636,25.289230516209635,13.0,False
2020-11-27,Mercer,GeorgiaTech,83,73,12.0,2020-21,-10,Georgia Tech,Mercer,18.529585537605705,28.529585537605705,22.0,False
2020-11-27,Auburn,Gonzaga,67,90,18.0,2020-21,23,Gonzaga,Auburn,8.262382209256907,14.737617790743093,5.0,False
2020-11-27,Toledo,Xavier,73,76,9.0,2020-21,3,Xavier,Toledo,19.307405479439986,16.307405479439986,6.0,False
2020-11-27,Ohio,Illinois,75,77,16.0,2020-21,2,Illinois,Ohio,18.770882799907316,16.770882799907316,14.0,False
2020-11-27,Bradley,Oakland,74,60,-16.0,2020-21,-14,Oakland,Bradley,1.5181139369612726,15.518113936961273,2.0,False
2020-11-27,SanFrancisco,Virginia,61,60,15.0,2020-21,-1,Virginia,San Francisco,6.222789575433156,7.222789575433156,16.0,True
2020-11-27,BoiseState,Houston,58,68,12.5,2020-21,10,Houston,Boise St.,17.46024253569996,7.460242535699962,2.5,False
2020-11-27,Pepperdine,UCLA,98,107,7.0,2020-21,9,UCLA,Pepperdine,17.24377798887518,8.24377798887518,2.0,False
2020-11-27,Valparaiso,Vanderbilt,71,77,6.0,2020-21,6,Vanderbilt,Valparaiso,14.93052401805226,8.93052401805226,0.0,False
2020-11-27,SetonHall,Louisville,70,71,5.5,2020-21,1,Louisville,Seton Hall,21.288353130663292,20.288353130663292,4.5,False
2020-11-27,Towson,Buffalo,65,74,8.0,2020-21,9,Buffalo,Towson,-3.248145609354134,12.248145609354134,1.0,False
2020-11-28,Lipscomb,Lamar,76,73,-8.5,2020-21,-3,Lamar,Lipscomb,-5.2464265465294435,2.2464265465294435,5.5,True
2020-11-28,Army,Buffalo,78,74,11.0,2020-21,-4,Buffalo,Army,5.308351925215568,9.308351925215568,15.0,True
2020-11-28,Drexel,Pittsburgh,74,83,10.0,2020-21,9,Pittsburgh,Drexel,9.877321664258176,0.8773216642581758,1.0,True
2020-11-28,VMI,PennState,65,86,19.5,2020-21,21,Penn St.,VMI,15.263769830194054,5.736230169805946,1.5,False
2020-11-28,Montana,USC,62,76,10.5,2020-21,14,USC,Montana,2.361968190379585,11.638031809620415,3.5,False
2020-11-28,NotreDame,MichiganState,70,80,9.5,2020-21,10,Michigan St.,Notre Dame,20.518164141754063,10.518164141754063,0.5,False
2020-11-28,VirginiaTech,Villanova,81,73,9.5,2020-21,-8,Villanova,Virginia Tech,13.048856107682491,21.04885610768249,17.5,False
2020-11-29,Radford,JamesMadison,59,67,4.0,2020-21,8,James Madison,Radford,8.700961188662031,0.7009611886620313,4.0,True
2020-11-29,Lipscomb,Tulane,66,68,-1.0,2020-21,2,Tulane,Lipscomb,4.179987175343222,2.1799871753432223,3.0,True
2020-11-29,VirginiaTech,SouthFlorida,76,58,-7.5,2020-21,-18,South Florida,Virginia Tech,0.29822561917453283,18.298225619174534,10.5,False
2020-11-29,Oakland,Michigan,71,81,31.5,2020-21,10,Michigan,Oakland,26.59833673172516,16.59833673172516,21.5,True
2020-11-29,Hofstra,Rutgers,56,70,14.0,2020-21,14,Rutgers,Hofstra,15.945139476983812,1.9451394769838117,0.0,False
2020-11-29,Washington,Baylor,52,86,11.0,2020-21,34,Baylor,Washington,21.425155350759383,12.574844649240617,23.0,True
2020-11-29,Richmond,Kentucky,76,64,7.5,2020-21,-12,Kentucky,Richmond,20.98269570955503,32.98269570955503,19.5,False
2020-11-30,Stanford,Alabama,82,64,2.5,2020-21,-18,Alabama,Stanford,14.567360843387867,32.56736084338787,20.5,False
2020-11-30,Pacific,Nevada,58,70,5.5,2020-21,12,Nevada,Pacific,11.617338862212723,0.3826611377872773,6.5,True
2020-11-30,Iona,SetonHall,64,86,20.0,2020-21,22,Seton Hall,Iona,8.183255004479571,13.816744995520429,2.0,False
2020-11-30,UMKC,KansasState,58,62,9.5,2020-21,4,Kansas St.,UMKC,15.477701781417181,11.477701781417181,5.5,False
2020-11-30,Texas,Davidson,78,76,-7.5,2020-21,-2,Davidson,Texas,-0.7394171168980608,1.2605828831019392,5.5,True
2020-11-30,Indiana,Providence,79,58,-2.0,2020-21,-21,Providence,Indiana,-1.4917721270298803,19.50822787297012,19.0,False
2020-11-30,NorthCarolina,UNLV,78,51,-14.0,2020-21,-27,UNLV,North Carolina,1.7428276004145171,28.74282760041452,13.0,False
2020-12-01,Navy,Georgetown,78,71,10.0,2020-21,-7,Georgetown,Navy,12.444677471646326,19.444677471646326,17.0,False
2020-12-01,Hartford,Villanova,53,87,26.0,2020-21,34,Villanova,Hartford,25.905622646173235,8.094377353826765,8.0,False
2020-12-01,Longwood,VMI,71,84,5.0,2020-21,13,VMI,Longwood,10.00639227228383,2.993607727716171,8.0,True
2020-12-01,Kentucky,Kansas,62,65,3.5,2020-21,3,Kansas,Kentucky,7.73880648936229,4.73880648936229,0.5,False
2020-12-01,USC,BYU,79,53,3.0,2020-21,-26,BYU,USC,16.57172288769518,42.57172288769518,29.0,False
2020-12-01,Oakland,Purdue,50,93,21.5,2020-21,43,Purdue,Oakland,18.760453173559252,24.239546826440748,21.5,False
